"cv_0","pa","lon","lat","wc2.1_10m_bio_10","wc2.1_10m_bio_15","wc2.1_10m_bio_16","wc2.1_10m_bio_18","wc2.1_10m_bio_19","wc2.1_10m_bio_2","wc2.1_10m_bio_3"
2,1,-40.2652778,-14.3530556,21.7220840454102,58.0485153198242,299,227,77,8.5448751449585,65.4528884887695
3,1,-41.592778,-13.253056,21.9314994812012,64.9693222045898,384,341,64,12.111291885376,72.7885818481445
1,1,-43.859167,-15.210278,25.431957244873,99.2404403686523,519,244,6,12.4248752593994,69.6207962036133
1,1,-40.961389,-11.665278,22.3774166107178,37.5696830749512,272,253,154,10.3098545074463,71.2154083251953
3,1,-41.083333,-10.933333,24.4914169311523,87.8735733032227,224,205,6,12.103458404541,73.2433166503906
3,1,-41.410556,-11.02,23.8183746337891,87.8862991333008,274,241,5,11.7392292022705,73.2362976074219
3,1,-40.210642,-12.772075,24.562084197998,58.3429565429688,264,248,65,9.07795810699463,68.8806991577148
1,1,-42.611222,-14.748389,22.2922916412354,97.2646179199219,521,430,6,11.1690216064453,70.949333190918
3,1,-39.7,-12.716667,24.0397491455078,47.2924919128418,228,217,81,7.70804166793823,65.7065963745117
1,1,-41.331111,-11.4925,21.1846237182617,59.4501724243164,287,254,69,10.1781044006348,71.9872970581055
2,1,-40.252778,-14.3225,22.4990425109863,56.9306335449219,302,236,79,8.30002117156982,65.7518539428711
2,1,-39.899167,-12.755,24.4515838623047,58.3474578857422,221,214,54,8.3057918548584,67.2996978759766
1,1,-41.270278,-11.645833,20.9343338012695,48.8267211914062,295,269,106,10.2120628356934,71.5731887817383
2,1,-41.339167,-11.493611,23.1736660003662,83.4930267333984,292,247,15,11.5111875534058,72.9040679931641
2,1,-41.305,-11.828611,21.3916664123535,42.9206352233887,295,269,131,10.6529159545898,71.6559906005859
3,1,-40.083333,-13.85,23.8718757629395,36.7629165649414,299,247,142,7.17916679382324,63.6705017089844
1,1,-42.184944,-14.009583,23.8283748626709,91.883659362793,414,361,9,11.3464164733887,69.8670959472656
2,1,-41.573306,-13.452528,22.6233329772949,70.9793853759766,351,317,42,11.9425621032715,72.4219589233398
1,0,-39.749999999726,-9.91666666612979,24.7617492675781,64.1265640258789,220,192,50,11.1411247253418,70.4811096191406
3,0,-38.749999999718,-12.0833333328149,24.8972511291504,27.8138484954834,347,255,265,8.4025411605835,65.8790283203125
2,0,-42.916666666418,-10.5833333328021,25.9597911834717,90.4089889526367,384,147,5,14.1615829467773,79.1791152954102
1,0,-39.583333333058,-12.9166666661553,23.7150840759277,27.6080055236816,281,276,181,6.92693758010864,62.8464698791504
3,0,-42.583333333082,-9.41666666612553,27.2638740539551,87.8571472167969,333,131,4,13.8526878356934,77.3029403686523
1,0,-38.416666666382,-11.2499999994745,25.992000579834,37.9762001037598,301,197,250,10.0348958969116,69.807975769043
3,0,-41.91666666641,-13.7499999994957,24.6049575805664,90.7932739257812,364,324,10,12.0401659011841,70.9727172851562
2,0,-39.916666666394,-11.7499999994787,25.1371250152588,39.3944091796875,218,218,119,10.1262083053589,70.0400009155273
2,0,-42.416666666414,-10.5833333328021,26.3731250762939,92.1360626220703,331,117,4,13.7444591522217,75.9824142456055
2,0,-41.91666666641,-9.24999999945745,27.1849575042725,92.1991958618164,315,196,5,13.6203126907349,78.2461853027344
1,0,-40.749999999734,-10.9166666661383,23.9147911071777,74.2297973632812,229,215,31,11.2918119430542,73.4570159912109
2,0,-42.916666666418,-10.0833333327979,26.6749172210693,91.3246536254883,366,136,3,14.4316663742065,78.8378753662109
3,0,-41.08333333307,-13.4166666661596,23.148416519165,68.7327575683594,359,293,55,11.0194797515869,75.1247024536133
1,0,-39.583333333058,-12.0833333328149,25.0336265563965,32.8013191223145,196,196,143,9.10362434387207,67.676139831543
3,0,-41.91666666641,-13.4166666661596,19.9737091064453,72.6888427734375,503,432,58,11.8382501602173,71.9224166870117
3,0,-43.083333333086,-16.5833333328532,22.8022079467773,96.4526062011719,591,378,15,12.7617082595825,71.0187149047852
1,0,-39.41666666639,-11.0833333328064,25.67795753479,37.7256889343262,197,192,111,11.1733541488647,71.4408874511719
2,0,-44.583333333098,-15.2499999995085,24.1379165649414,99.8650054931641,628,275,7,12.8007707595825,69.5467300415039
3,0,-40.583333333066,-16.0833333328489,25.4403743743896,63.939769744873,401,264,80,10.5075626373291,66.0853042602539
1,0,-41.416666666406,-13.5833333328277,20.3076667785645,50.7131233215332,392,320,128,11.535249710083,72.7374420166016
2,0,-42.916666666418,-15.2499999995085,24.0690841674805,96.0044250488281,486,410,4,12.0032501220703,72.3283386230469
3,0,-44.749999999766,-13.9166666661638,24.5919170379639,96.6443405151367,552,277,10,12.8993330001831,71.0951919555664
2,0,-40.749999999734,-9.41666666612553,26.8967914581299,94.5747222900391,264,131,11,12.3072500228882,77.1287994384766
1,0,-41.249999999738,-13.7499999994957,21.9827079772949,61.5464515686035,342,271,75,10.7292079925537,72.8886489868164
2,0,-39.249999999722,-12.9166666661553,24.8112506866455,22.6442432403564,359,275,327,6.73622941970825,62.8291664123535
3,0,-43.083333333086,-11.7499999994787,26.4600410461426,90.5790405273438,460,239,2,13.6185207366943,73.8471374511719
3,0,-40.083333333062,-12.249999999483,24.847749710083,47.125301361084,263,254,114,9.47185516357422,69.5143661499023
2,0,-41.583333333074,-12.0833333328149,22.5831661224365,60.7285804748535,309,249,71,11.9302921295166,71.9732818603516
1,0,-37.916666666378,-12.249999999483,25.7665424346924,48.928897857666,776,304,446,7.47646188735962,67.6518478393555
1,0,-43.416666666422,-14.9166666661723,25.1622505187988,95.7898941040039,452,224,5,11.9770832061768,69.9636917114258
